,down_x_offset,down_y_offset,left_side_distance,right_side_distance,rotation_yaw
0,-24.9,58.1,21.6,5,90.0
1,-24.9,58.1,21.6,5,90.0
2,-24.9,58.1,21.6,5,90.0
3,-24.9,58.1,21.6,5,90.0
4,-24.9,58.1,21.6,5,90.0
5,-24.9,58.1,21.6,5,90.0
6,-24.9,58.1,21.6,5,90.0
7,-24.9,58.1,21.6,5,90.0
8,-24.9,58.1,21.6,5,90.0
9,-24.9,58.1,21.6,5,90.0
10,-24.9,58.1,21.6,5,90.0
11,-24.9,58.1,21.6,5,90.0
12,-24.9,58.1,21.6,5,90.0
13,-24.9,58.1,21.6,5,90.0
14,-24.9,58.1,21.6,5,90.0
15,-24.9,58.1,21.6,5,90.0
16,-24.9,58.1,21.6,5,90.0
17,-24.9,58.1,21.6,5,90.0
18,-24.9,58.1,21.6,5,90.0
19,-24.9,58.1,21.6,5,90.0
20,-24.9,58.1,21.6,5,90.0
21,-24.9,58.1,21.6,5,90.0
22,-24.9,58.1,21.6,5,90.0
23,-24.9,58.1,21.6,5,90.0
24,-24.9,58.1,21.6,5,90.0
25,-24.9,58.1,21.6,5,90.0
26,-24.9,58.1,21.6,5,90.0
27,-24.9,58.1,21.6,5,90.0
28,-24.9,58.1,21.6,5,90.0
29,-24.9,58.1,21.6,5,90.0
30,-24.9,58.1,21.6,5,90.0
31,-24.9,58.1,21.6,5,90.0
32,-24.9,58.1,21.6,5,90.0
33,-24.9,58.1,21.6,5,90.0
34,-24.9,58.1,21.6,5,90.0
35,-24.9,58.1,21.6,5,90.0
36,-24.9,58.1,21.6,5,90.0
37,-24.9,58.1,21.6,5,90.0
38,-24.9,58.1,21.6,5,90.0
39,-24.9,58.1,21.6,5,90.0
40,-24.9,58.1,21.6,5,90.0
41,-24.9,58.1,21.6,5,90.0
42,-24.9,58.1,21.6,5,90.0
43,-24.9,58.1,21.6,5,90.0
44,-24.9,58.1,21.6,5,90.0
45,-24.9,58.1,21.6,5,90.0
46,-24.9,58.1,21.6,5,90.0
47,-24.9,58.1,21.6,5,90.0
48,-24.9,58.1,21.6,5,90.0
49,-24.9,58.1,21.6,5,90.0
